Site,Storage Location,Item Description,Qty On Hand,UOM,Pack Size,Case UPC,Lot #,Brand,Manufacturer,Mfr Item #,Vendor,Vendor Item #,Unit Cost,Received Date
Central High School,Dry Store,FLOUR ALL PURPOSE ENRICHED 50 LB,6,BG,50 lb,,FL-3345,Morrison's,C. H. Guenther & Son,MM-0050,US Foods,3345088,,2026-07-28
Central High School,Cooler A,MILK 1% LOWFAT HALF PINT,260,CS,50 ct,,M0903,Prairie Farms,,,Prairie Farms,M-1050,9.60,2026-09-03
Central High School,Dry Store,BUN HAMBURGER WHOLE GRAIN 12 CT,14,CS,12/12 ct,,BN-7781,Bimbo Bakeries,,,US Foods,7781203,19.30,2026-09-01
Central High School,Freezer 3,POLLOCK WEDGE BRD WG OVEN READY 3.4 OZ,8,CS,1/10 lb,,,High Liner,High Liner Foods,53374,Sysco,5337409,31.85,2026-08-20
Central High School,Dry Store,BANANAS FRESH 40 LB,7,CS,40 lb,,,Chiquita,,,US Foods,4010556,24.10,2026-09-03
Central High School,Cooler A,TURKEY DELI SLICED SMOKED 1/2 LB,5,CS,12/0.5 lb,,6141,Northfield,Northfield Provision Company,NP-6141,US Foods,6141220,28.95,2026-08-25
Central High School,Dry Store,TOMATO SAUCE CANNED #10,9,CS,6/#10,,TS-8823,Red Gold,,,US Foods,8823017,26.70,2026-08-06
Central High School,Freezer 3,CORN WHOLE KERNEL IQF 2 LB,13,CS,12/2 lb,,CN-1120,Pictsweet,The Pictsweet Company,PS-1120,Sysco,1120336,13.75,2026-08-20
Central High School,Dry Store,OATS ROLLED OLD FASHIONED 25 LB,4,CS,25 lb,,OT-6650,Quaker,,,Sysco,6650123,21.95,2026-07-31
Central High School,Cooler A,EGG LIQUID WHOLE 2 LB,6,CS,15/2 lb,,EG-9902,Papetti's,Michael Foods,MF-9902,US Foods,9902441,33.40,2026-08-27
Central High School,Dry Store,GRAPES RED SEEDLESS FRESH 18 LB,5,CS,18 lb,,,Sun World,,,US Foods,1866032,32.60,2026-09-02
